(+)-Pinoresinol,Sinapyl alcohol,Naringin,Ononin,Trifolirhizin,Tyramine,Melilotoside,Trans-2-Octenal,9-Oxo-nonanoic acid,"9,10-eot",Lpc(18:3),LysoPC(18:1(11Z)),Lpc(16:1),Oxiglutatione,"1,4-diaminobutane",L-(+)-Arginine,Feruloylputrescine
6.068341657,5.379801315,5.290349196,4.710494179,5.402636886,5.41325843,2.907676157,4.567427322,3.80279821,4.000608671,4.089702305,4.80013766,2.899438218,4.597216892,3.710829813,6.224960786,5.127178051
6.035739275,5.413639427,5.086033613,4.881167535,5.312659516,5.591154498,3.380226419,3.474291438,2.992788453,3.422302175,4.657622399,5.64154161,3.03362043,5.666169703,3.958692606,7.2553961,5.036464197
5.791583978,5.294190329,5.013171447,4.85429812,4.938154795,5.397351761,3.212120562,4.590392451,3.589194371,3.415855377,4.511662508,4.913768139,2.91122525,5.24800775,2.62283289,6.717460393,5.337121584
5.87511508,5.450943829,5.894129416,4.192632586,4.959121681,5.432865506,2.933627914,4.706168843,4.317874964,3.854794856,4.842811684,5.593241082,2.919557765,3.869572784,3.437480294,7.149883361,4.937081936
6.011179547,5.372437834,5.027464354,4.995391281,5.203268771,5.380752385,3.22659747,4.472387841,3.581977567,3.507798777,4.267930227,5.120871503,2.912616095,4.866015865,3.535741817,6.324532061,5.229777336
5.854039671,5.445206769,5.608428662,4.603865435,4.969323248,5.732789366,2.944338955,4.91365698,4.088963481,3.83625832,4.663120691,5.195344104,2.915389371,5.028927811,2.687383427,7.391750354,5.279224929
5.166558191,5.151279768,4.980159562,4.283142392,4.251121034,4.902813346,5.143304913,3.770654363,5.537798057,4.445668274,5.622574597,6.234000473,4.005919501,4.019879407,4.371305345,7.488624464,4.265905161
5.306469928,5.342021278,4.210454388,4.227402317,4.414813588,5.249946028,5.166107869,2.090628006,4.509946126,4.302218731,5.370038778,6.084353111,3.614063182,4.386252712,4.479117707,7.209082635,4.765064179
5.289126764,5.466502371,4.445876822,3.906978466,4.506301054,5.113527257,4.937112427,2.565993216,4.69397836,4.598078618,5.338374491,6.128785775,3.336480176,3.862232083,4.5913337,7.511425315,4.032752233
4.402651158,4.936830684,4.272177296,3.827502855,3.774803601,5.322386284,5.13050715,3.803380777,5.092872567,4.717799723,5.37065507,6.040318749,3.813909894,3.897002751,4.816529345,7.176344237,3.964813573
5.428611955,5.124038869,4.588886446,3.975741898,4.748020978,4.83406234,5.102129101,2.385012047,4.846954224,4.637110444,5.192782044,5.609492833,2.827724552,3.819583589,4.825876702,6.949906923,4.187288024
5.453390363,5.464158811,4.702986238,4.297819053,4.715339862,4.975214027,5.104944881,2.52179803,4.586434425,4.342478099,5.617728681,6.098730122,2.856283072,4.432219004,4.654171874,6.929475892,4.012879777
4.663421509,4.380124523,4.231832185,3.610786888,3.203542449,3.834123294,4.949168253,3.273223186,4.54606755,3.342895238,5.942656571,6.631828918,4.394602108,4.696722631,2.598276234,6.313632667,5.329370261
5.413844172,4.404261938,4.392147148,4.210217677,4.65450431,4.017849706,5.057478766,2.648483511,4.692597207,4.540464477,5.721542171,6.343026195,3.782616334,4.920890833,4.364973277,6.174241882,4.757198753
5.326988998,4.596997898,5.204893433,4.034944449,4.58953781,3.737449175,5.187980649,2.085783004,4.378612707,3.848265693,5.710415756,6.301524514,3.799238544,5.265556066,4.465400675,6.040504329,4.575793634
5.26823056,4.369712894,4.407739463,4.075562735,4.441028095,4.119248513,4.924044069,2.908391159,4.373280826,3.391459146,5.8587037,6.583610638,4.297680014,5.167527,3.831367837,6.181516793,5.190718719
4.668453115,4.453953384,4.973390043,3.820441189,3.483961163,3.863661938,4.882462251,3.067860898,5.165137,4.310854324,5.943797277,6.592846616,4.223145507,3.828649875,3.756261801,6.450401702,4.00195778
5.055270592,4.438944357,5.463304123,3.945157355,4.110890969,3.902696044,4.763994546,2.559370169,4.239483839,3.66135643,6.08141244,6.760085519,4.472112581,5.221289723,3.767511091,6.188701328,4.950411414
5.308538581,5.355023594,4.031804,4.046976396,4.441504162,5.917292647,3.077534652,4.726320657,4.106671599,4.461608604,3.948533783,3.649803984,2.941963391,4.463260468,3.54388723,7.317431502,5.330378297
5.514362583,5.326522775,4.656534031,3.947037086,4.816338327,5.867468991,3.95908498,5.163672323,4.381378841,4.305592624,3.988614067,4.38272476,2.946739611,4.508040237,3.925816774,8.296069394,5.377119668
2.942847078,5.059096912,3.415869262,2.724817076,2.531755663,5.637073447,4.041200437,4.744634496,4.717592267,4.075642248,5.048282289,5.417006983,2.841850291,4.562217611,2.503169686,8.19208653,5.284330932
3.614377656,4.099582372,3.816703395,1.964529295,2.574928281,5.325987791,2.85665221,4.906186417,5.154207911,4.815113954,4.577535888,4.973235632,2.885084732,3.877015624,4.574355112,7.039098642,5.617852612
2.563067303,4.48147653,3.489174578,1.927438681,2.537516955,5.629481698,4.003181035,4.991267338,5.527806612,5.349952603,4.861192673,5.250375718,2.847620193,4.980729198,4.625387285,7.755265262,5.380824674
2.579808245,4.536310142,3.47567021,1.944030014,2.554255168,5.935601145,4.127509131,5.068455531,5.450409166,4.295027189,4.71465677,5.057913987,2.864382782,5.126491662,3.830086461,7.790820692,5.446305058
